	VBus #0: DeltaSol BS Plus (0x4221)																				
Date	Temperatur Sensor 1 [ °C]	Temperatur Sensor 2 [ °C]	Temperatur Sensor 3 [ °C]	Temperatur Sensor 4 [ °C]	Drehzahl Pumpe 1 [ %]	Drehzahl Pumpe 2 [ %]	Relaismaske	Fehlermaske	Systemzeit	Schema	Option Kollektor Max.	Option Kollektor Min.	Option Kollektor Frost	Option Röhrenkollektor	Option Rückkühlung	Option WMZ	Betriebsstunden Relais 1	Betriebsstunden Relais 2	Wärmemenge [ Wh]	Version	
19.5.2022 0:00:00	6,4	50,4	56,5	23,4	0	0	0	0	00:06	8	0	0	0	0	0	0	5320	925	5251824	1,00	
19.5.2022 0:01:00	6,4	50,4	56,5	23,4	0	0	0	0	00:07	8	0	0	0	0	0	0	5320	925	5251824	1,00	
19.5.2022 0:02:00	6,4	50,4	56,5	23,4	0	0	0	0	00:08	8	0	0	0	0	0	0	5320	925	5251824	1,00	
19.5.2022 0:03:00	6,4	50,4	56,5	23,4	0	0	0	0	00:09	8	0	0	0	0	0	0	5320	925	5251824	1,00	
19.5.2022 0:04:00	6,4	50,4	56,5	23,4	0	0	0	0	00:10	8	0	0	0	0	0	0	5320	925	5251824	1,00	
19.5.2022 0:05:00	6,4	50,4	56,5	23,4	0	0	0	0	00:11	8	0	0	0	0	0	0	5320	925	5251824	1,00	
19.5.2022 0:06:00	6,3	50,4	56,5	23,4	0	0	0	0	00:12	8	0	0	0	0	0	0	5320	925	5251824	1,00	
19.5.2022 0:07:00	6,2	50,4	56,5	23,4	0	0	0	0	00:13	8	0	0	0	0	0	0	5320	925	5251824	1,00	
19.5.2022 0:08:00	6,3	50,4	56,5	23,4	0	0	0	0	00:14	8	0	0	0	0	0	0	5320	925	5251824	1,00	
19.5.2022 0:09:00	6,2	50,4	56,5	23,4	0	0	0	0	00:15	8	0	0	0	0	0	0	5320	925	5251824	1,00	
19.5.2022 0:10:00	6,2	50,4	56,5	23,4	0	0	0	0	00:16	8	0	0	0	0	0	0	5320	925	5251824	1,00	
19.5.2022 0:11:00	6,2	50,4	56,5	23,4	0	0	0	0	00:17	8	0	0	0	0	0	0	5320	925	5251824	1,00	
19.5.2022 0:12:00	6,2	50,4	56,5	23,4	0	0	0	0	00:18	8	0	0	0	0	0	0	5320	925	5251824	1,00	
19.5.2022 0:13:00	6,2	50,4	56,5	23,4	0	0	0	0	00:19	8	0	0	0	0	0	0	5320	925	5251824	1,00	
19.5.2022 0:14:00	6,2	50,4	56,5	23,5	0	0	0	0	00:20	8	0	0	0	0	0	0	5320	925	5251824	1,00	
19.5.2022 0:15:00	6,2	50,4	56,5	23,4	0	0	0	0	00:21	8	0	0	0	0	0	0	5320	925	5251824	1,00	
19.5.2022 0:16:00	6,1	50,4	56,5	23,4	0	0	0	0	00:22	8	0	0	0	0	0	0	5320	925	5251824	1,00	
19.5.2022 0:17:00	6,1	50,4	56,5	23,4	0	0	0	0	00:23	8	0	0	0	0	0	0	5320	925	5251824	1,00	
19.5.2022 0:18:00	6,2	50,3	56,5	23,4	0	0	0	0	00:24	8	0	0	0	0	0	0	5320	925	5251824	1,00	
19.5.2022 0:19:00	6,1	50,4	56,5	23,4	0	0	0	0	00:25	8	0	0	0	0	0	0	5320	925	5251824	1,00	
19.5.2022 0:20:00	6,1	50,4	56,5	23,4	0	0	0	0	00:26	8	0	0	0	0	0	0	5320	925	5251824	1,00	
19.5.2022 0:21:00	6,1	50,4	56,5	23,4	0	0	0	0	00:27	8	0	0	0	0	0	0	5320	925	5251824	1,00	
19.5.2022 0:22:00	6,0	50,4	56,4	23,4	0	0	0	0	00:28	8	0	0	0	0	0	0	5320	925	5251824	1,00	
19.5.2022 0:23:00	6,0	50,4	56,4	23,4	0	0	0	0	00:29	8	0	0	0	0	0	0	5320	925	5251824	1,00	
19.5.2022 0:24:00	6,0	50,3	56,4	23,4	0	0	0	0	00:30	8	0	0	0	0	0	0	5320	925	5251824	1,00	
19.5.2022 0:25:00	5,9	50,3	56,4	23,4	0	0	0	0	00:31	8	0	0	0	0	0	0	5320	925	5251824	1,00	
19.5.2022 0:26:00	5,9	50,4	56,4	23,4	0	0	0	0	00:32	8	0	0	0	0	0	0	5320	925	5251824	1,00	
19.5.2022 0:27:00	5,9	50,3	56,4	23,4	0	0	0	0	00:33	8	0	0	0	0	0	0	5320	925	5251824	1,00	
19.5.2022 0:28:00	5,9	50,4	56,4	23,4	0	0	0	0	00:34	8	0	0	0	0	0	0	5320	925	5251824	1,00	
19.5.2022 0:29:00	5,9	50,3	56,4	23,4	0	0	0	0	00:35	8	0	0	0	0	0	0	5320	925	5251824	1,00	
19.5.2022 0:30:00	5,8	50,3	56,4	23,4	0	0	0	0	00:36	8	0	0	0	0	0	0	5320	925	5251824	1,00	
19.5.2022 0:31:00	5,8	50,3	56,4	23,4	0	0	0	0	00:37	8	0	0	0	0	0	0	5320	925	5251824	1,00	
19.5.2022 0:32:00	5,8	50,3	56,4	23,4	0	0	0	0	00:38	8	0	0	0	0	0	0	5320	925	5251824	1,00	
19.5.2022 0:33:00	5,8	50,3	56,4	23,4	0	0	0	0	00:39	8	0	0	0	0	0	0	5320	925	5251824	1,00	
19.5.2022 0:34:00	5,8	50,3	56,4	23,4	0	0	0	0	00:40	8	0	0	0	0	0	0	5320	925	5251824	1,00	
19.5.2022 0:35:00	5,8	50,3	56,4	23,4	0	0	0	0	00:41	8	0	0	0	0	0	0	5320	925	5251824	1,00	
19.5.2022 0:36:00	5,8	50,3	56,3	23,4	0	0	0	0	00:42	8	0	0	0	0	0	0	5320	925	5251824	1,00	
19.5.2022 0:37:00	5,7	50,3	56,3	23,4	0	0	0	0	00:43	8	0	0	0	0	0	0	5320	925	5251824	1,00	
19.5.2022 0:38:00	5,7	50,3	56,3	23,4	0	0	0	0	00:44	8	0	0	0	0	0	0	5320	925	5251824	1,00	
19.5.2022 0:39:00	5,7	50,3	56,3	23,4	0	0	0	0	00:45	8	0	0	0	0	0	0	5320	925	5251824	1,00	
19.5.2022 0:40:00	5,7	50,3	56,3	23,4	0	0	0	0	00:46	8	0	0	0	0	0	0	5320	925	5251824	1,00	
19.5.2022 0:41:00	5,7	50,3	56,3	23,4	0	0	0	0	00:47	8	0	0	0	0	0	0	5320	925	5251824	1,00	
19.5.2022 0:42:00	5,7	50,3	56,3	23,4	0	0	0	0	00:48	8	0	0	0	0	0	0	5320	925	5251824	1,00	
19.5.2022 0:43:00	5,7	50,3	56,3	23,4	0	0	0	0	00:49	8	0	0	0	0	0	0	5320	925	5251824	1,00	
19.5.2022 0:44:00	5,7	50,3	56,3	23,4	0	0	0	0	00:50	8	0	0	0	0	0	0	5320	925	5251824	1,00	
19.5.2022 0:45:00	5,7	50,3	56,3	23,4	0	0	0	0	00:51	8	0	0	0	0	0	0	5320	925	5251824	1,00	
19.5.2022 0:46:00	5,7	50,3	56,3	23,4	0	0	0	0	00:52	8	0	0	0	0	0	0	5320	925	5251824	1,00	
19.5.2022 0:47:00	5,6	50,3	56,3	23,4	0	0	0	0	00:53	8	0	0	0	0	0	0	5320	925	5251824	1,00	
19.5.2022 0:48:00	5,7	50,3	56,3	23,4	0	0	0	0	00:54	8	0	0	0	0	0	0	5320	925	5251824	1,00	
19.5.2022 0:49:00	5,6	50,3	56,3	23,4	0	0	0	0	00:55	8	0	0	0	0	0	0	5320	925	5251824	1,00	
19.5.2022 0:50:00	5,6	50,3	56,3	23,4	0	0	0	0	00:56	8	0	0	0	0	0	0	5320	925	5251824	1,00	
19.5.2022 0:51:00	5,6	50,3	56,3	23,3	0	0	0	0	00:57	8	0	0	0	0	0	0	5320	925	5251824	1,00	
19.5.2022 0:52:00	5,6	50,3	56,3	23,4	0	0	0	0	00:58	8	0	0	0	0	0	0	5320	925	5251824	1,00	
19.5.2022 0:53:00	5,6	50,3	56,3	23,4	0	0	0	0	00:59	8	0	0	0	0	0	0	5320	925	5251824	1,00	
19.5.2022 0:54:00	5,5	50,3	56,3	23,3	0	0	0	0	01:00	8	0	0	0	0	0	0	5320	925	5251824	1,00	
19.5.2022 0:55:00	5,6	50,3	56,3	23,3	0	0	0	0	01:01	8	0	0	0	0	0	0	5320	925	5251824	1,00	
19.5.2022 0:56:00	5,6	50,3	56,3	23,3	0	0	0	0	01:02	8	0	0	0	0	0	0	5320	925	5251824	1,00	
19.5.2022 0:57:00	5,5	50,3	56,3	23,4	0	0	0	0	01:03	8	0	0	0	0	0	0	5320	925	5251824	1,00	
19.5.2022 0:58:00	5,5	50,3	56,3	23,3	0	0	0	0	01:04	8	0	0	0	0	0	0	5320	925	5251824	1,00	
19.5.2022 0:59:00	5,5	50,3	56,3	23,4	0	0	0	0	01:05	8	0	0	0	0	0	0	5320	925	5251824	1,00	
19.5.2022 1:00:00	5,5	50,3	56,3	23,3	0	0	0	0	01:06	8	0	0	0	0	0	0	5320	925	5251824	1,00	
19.5.2022 1:01:00	5,5	50,3	56,3	23,3	0	0	0	0	01:07	8	0	0	0	0	0	0	5320	925	5251824	1,00	
19.5.2022 1:02:00	5,4	50,3	56,3	23,3	0	0	0	0	01:08	8	0	0	0	0	0	0	5320	925	5251824	1,00	
19.5.2022 1:03:00	5,5	50,3	56,3	23,3	0	0	0	0	01:09	8	0	0	0	0	0	0	5320	925	5251824	1,00	
19.5.2022 1:04:00	5,4	50,3	56,3	23,3	0	0	0	0	01:10	8	0	0	0	0	0	0	5320	925	5251824	1,00	
19.5.2022 1:05:00	5,4	50,3	56,3	23,3	0	0	0	0	01:11	8	0	0	0	0	0	0	5320	925	5251824	1,00	
19.5.2022 1:06:00	5,4	50,3	56,3	23,3	0	0	0	0	01:12	8	0	0	0	0	0	0	5320	925	5251824	1,00	
19.5.2022 1:07:00	5,4	50,3	56,3	23,4	0	0	0	0	01:13	8	0	0	0	0	0	0	5320	925	5251824	1,00	
19.5.2022 1:08:00	5,4	50,3	56,3	23,3	0	0	0	0	01:14	8	0	0	0	0	0	0	5320	925	5251824	1,00	
19.5.2022 1:09:00	5,4	50,3	56,2	23,3	0	0	0	0	01:15	8	0	0	0	0	0	0	5320	925	5251824	1,00	
19.5.2022 1:10:00	5,4	50,3	56,3	23,4	0	0	0	0	01:16	8	0	0	0	0	0	0	5320	925	5251824	1,00	
19.5.2022 1:11:00	5,4	50,3	56,2	23,3	0	0	0	0	01:17	8	0	0	0	0	0	0	5320	925	5251824	1,00	
19.5.2022 1:12:00	5,4	50,3	56,3	23,3	0	0	0	0	01:18	8	0	0	0	0	0	0	5320	925	5251824	1,00	
19.5.2022 1:13:00	5,4	50,3	56,2	23,3	0	0	0	0	01:19	8	0	0	0	0	0	0	5320	925	5251824	1,00	
19.5.2022 1:14:00	5,4	50,1	56,2	23,3	0	0	0	0	01:20	8	0	0	0	0	0	0	5320	925	5251824	1,00	
19.5.2022 1:15:00	5,4	50,1	56,2	23,3	0	0	0	0	01:21	8	0	0	0	0	0	0	5320	925	5251824	1,00	
19.5.2022 1:16:00	5,4	50,1	56,2	23,3	0	0	0	0	01:22	8	0	0	0	0	0	0	5320	925	5251824	1,00	
19.5.2022 1:17:00	5,4	50,3	56,3	23,3	0	0	0	0	01:23	8	0	0	0	0	0	0	5320	925	5251824	1,00	
19.5.2022 1:18:00	5,4	50,1	56,2	23,3	0	0	0	0	01:24	8	0	0	0	0	0	0	5320	925	5251824	1,00	
19.5.2022 1:19:00	5,4	50,1	56,3	23,3	0	0	0	0	01:25	8	0	0	0	0	0	0	5320	925	5251824	1,00	
19.5.2022 1:20:00	5,4	50,1	56,2	23,3	0	0	0	0	01:26	8	0	0	0	0	0	0	5320	925	5251824	1,00	
19.5.2022 1:21:00	5,3	50,1	56,2	23,3	0	0	0	0	01:27	8	0	0	0	0	0	0	5320	925	5251824	1,00	
19.5.2022 1:22:00	5,3	50,1	56,2	23,3	0	0	0	0	01:28	8	0	0	0	0	0	0	5320	925	5251824	1,00	
19.5.2022 1:23:00	5,3	50,1	56,2	23,3	0	0	0	0	01:29	8	0	0	0	0	0	0	5320	925	5251824	1,00	
19.5.2022 1:24:00	5,3	50,1	56,2	23,3	0	0	0	0	01:30	8	0	0	0	0	0	0	5320	925	5251824	1,00	
19.5.2022 1:25:00	5,3	50,1	56,2	23,3	0	0	0	0	01:31	8	0	0	0	0	0	0	5320	925	5251824	1,00	
19.5.2022 1:26:00	5,3	50,1	56,2	23,3	0	0	0	0	01:32	8	0	0	0	0	0	0	5320	925	5251824	1,00	
19.5.2022 1:27:00	5,3	50,1	56,2	23,3	0	0	0	0	01:33	8	0	0	0	0	0	0	5320	925	5251824	1,00	
19.5.2022 1:28:00	5,3	50,1	56,2	23,3	0	0	0	0	01:34	8	0	0	0	0	0	0	5320	925	5251824	1,00	
19.5.2022 1:29:00	5,2	50,1	56,2	23,3	0	0	0	0	01:35	8	0	0	0	0	0	0	5320	925	5251824	1,00	
19.5.2022 1:30:00	5,3	50,1	56,2	23,3	0	0	0	0	01:36	8	0	0	0	0	0	0	5320	925	5251824	1,00	
19.5.2022 1:31:00	5,2	50,1	56,2	23,3	0	0	0	0	01:37	8	0	0	0	0	0	0	5320	925	5251824	1,00	
19.5.2022 1:32:00	5,2	50,1	56,2	23,3	0	0	0	0	01:38	8	0	0	0	0	0	0	5320	925	5251824	1,00	
19.5.2022 1:33:00	5,2	50,1	56,2	23,2	0	0	0	0	01:39	8	0	0	0	0	0	0	5320	925	5251824	1,00	
19.5.2022 1:34:00	5,2	50,1	56,2	23,3	0	0	0	0	01:40	8	0	0	0	0	0	0	5320	925	5251824	1,00	
19.5.2022 1:35:00	5,3	50,1	56,2	23,3	0	0	0	0	01:41	8	0	0	0	0	0	0	5320	925	5251824	1,00	
19.5.2022 1:36:00	5,2	50,1	56,1	23,3	0	0	0	0	01:42	8	0	0	0	0	0	0	5320	925	5251824	1,00	
19.5.2022 1:37:00	5,2	50,1	56,1	23,3	0	0	0	0	01:43	8	0	0	0	0	0	0	5320	925	5251824	1,00	
19.5.2022 1:38:00	5,2	50,1	56,1	23,3	0	0	0	0	01:44	8	0	0	0	0	0	0	5320	925	5251824	1,00	
19.5.2022 1:39:00	5,2	50,1	56,1	23,3	0	0	0	0	01:45	8	0	0	0	0	0	0	5320	925	5251824	1,00	
19.5.2022 1:40:00	5,2	50,1	56,1	23,3	0	0	0	0	01:46	8	0	0	0	0	0	0	5320	925	5251824	1,00	
19.5.2022 1:41:00	5,1	50,1	56,1	23,3	0	0	0	0	01:47	8	0	0	0	0	0	0	5320	925	5251824	1,00	
19.5.2022 1:42:00	5,1	50,1	56,1	23,3	0	0	0	0	01:48	8	0	0	0	0	0	0	5320	925	5251824	1,00	
19.5.2022 1:43:00	5,1	50,1	56,1	23,3	0	0	0	0	01:49	8	0	0	0	0	0	0	5320	925	5251824	1,00	
19.5.2022 1:44:00	5,1	50,1	56,1	23,2	0	0	0	0	01:50	8	0	0	0	0	0	0	5320	925	5251824	1,00	
19.5.2022 1:45:00	5,1	50,0	56,1	23,3	0	0	0	0	01:51	8	0	0	0	0	0	0	5320	925	5251824	1,00	
19.5.2022 1:46:00	5,1	50,0	56,1	23,3	0	0	0	0	01:52	8	0	0	0	0	0	0	5320	925	5251824	1,00	
19.5.2022 1:47:00	5,1	50,0	56,1	23,2	0	0	0	0	01:53	8	0	0	0	0	0	0	5320	925	5251824	1,00	
19.5.2022 1:48:00	5,1	50,0	56,1	23,3	0	0	0	0	01:54	8	0	0	0	0	0	0	5320	925	5251824	1,00	
19.5.2022 1:49:00	5,1	50,0	56,1	23,2	0	0	0	0	01:55	8	0	0	0	0	0	0	5320	925	5251824	1,00	
19.5.2022 1:50:00	5,0	50,0	56,1	23,2	0	0	0	0	01:56	8	0	0	0	0	0	0	5320	925	5251824	1,00	
19.5.2022 1:51:00	5,1	50,0	56,1	23,3	0	0	0	0	01:57	8	0	0	0	0	0	0	5320	925	5251824	1,00	
19.5.2022 1:52:00	5,1	50,0	56,1	23,2	0	0	0	0	01:58	8	0	0	0	0	0	0	5320	925	5251824	1,00	
19.5.2022 1:53:00	5,0	50,0	56,1	23,2	0	0	0	0	01:59	8	0	0	0	0	0	0	5320	925	5251824	1,00	
19.5.2022 1:54:00	5,0	50,0	56,1	23,2	0	0	0	0	02:00	8	0	0	0	0	0	0	5320	925	5251824	1,00	
19.5.2022 1:55:00	5,1	49,9	56,1	23,3	0	0	0	0	02:01	8	0	0	0	0	0	0	5320	925	5251824	1,00	
