Date	Temperatur Sensor 1 [ °C]	Temperatur Sensor 2 [ °C]	Temperatur Sensor 3 [ °C]	Temperatur Sensor 4 [ °C]	Drehzahl Pumpe 1 [ %]	Drehzahl Pumpe 2 [ %]	Relaismaske	Fehlermaske	Systemzeit	Schema	Option Kollektor Max.	Option Kollektor Min.	Option Kollektor Frost	Option Röhrenkollektor	Option Rückkühlung	Option WMZ	Betriebsstunden Relais 1	Betriebsstunden Relais 2	Wärmemenge [ Wh]	Version	
19.5.2011 0:00:41	9,1	44,1	49,6	18,4	0	100	2	0	00:04	3	0	0	0	0	0	1	786	72	1494468	1,00	
19.5.2011 0:01:42	9,1	44,1	49,6	18,4	0	100	2	0	00:05	3	0	0	0	0	0	1	786	72	1494468	1,00	
19.5.2011 0:02:42	9,1	44,1	49,6	18,4	0	100	2	0	00:06	3	0	0	0	0	0	1	786	72	1494468	1,00	
19.5.2011 0:03:45	9,0	44,1	49,6	18,4	0	100	2	0	00:06	3	0	0	0	0	0	1	786	72	1494468	1,00	
19.5.2011 0:04:45	9,0	44,1	49,6	18,4	0	100	2	0	00:07	3	0	0	0	0	0	1	786	72	1494468	1,00	
19.5.2011 0:05:47	9,0	44,1	49,6	18,4	0	100	2	0	00:08	3	0	0	0	0	0	1	786	72	1494468	1,00	
19.5.2011 0:06:48	9,0	44,1	49,5	18,4	0	100	2	0	00:09	3	0	0	0	0	0	1	786	72	1494468	1,00	
19.5.2011 0:07:49	9,0	44,1	49,5	18,4	0	100	2	0	00:10	3	0	0	0	0	0	1	786	72	1494468	1,00	
19.5.2011 0:08:50	9,0	44,1	49,5	18,4	0	100	2	0	00:11	3	0	0	0	0	0	1	786	72	1494468	1,00	
19.5.2011 0:09:51	8,9	44,1	49,5	18,4	0	100	2	0	00:12	3	0	0	0	0	0	1	786	72	1494468	1,00	
19.5.2011 0:10:53	8,9	44,1	49,5	18,4	0	100	2	0	00:13	3	0	0	0	0	0	1	786	72	1494468	1,00	
19.5.2011 0:11:54	8,9	44,1	49,5	18,3	0	100	2	0	00:14	3	0	0	0	0	0	1	786	72	1494468	1,00	
19.5.2011 0:12:55	8,9	44,1	49,5	18,4	0	100	2	0	00:16	3	0	0	0	0	0	1	786	72	1494468	1,00	
19.5.2011 0:13:56	8,8	44,0	49,5	18,3	0	100	2	0	00:17	3	0	0	0	0	0	1	786	72	1494468	1,00	
19.5.2011 0:14:58	8,8	44,0	49,5	18,3	0	100	2	0	00:18	3	0	0	0	0	0	1	786	72	1494468	1,00	
19.5.2011 0:15:58	8,8	44,1	49,5	18,3	0	100	2	0	00:19	3	0	0	0	0	0	1	786	72	1494468	1,00	
19.5.2011 0:17:00	8,8	44,1	49,5	18,3	0	100	2	0	00:20	3	0	0	0	0	0	1	786	72	1494468	1,00	
19.5.2011 0:18:01	8,8	44,1	49,4	18,3	0	100	2	0	00:21	3	0	0	0	0	0	1	786	72	1494468	1,00	
19.5.2011 0:19:03	8,8	44,1	49,5	18,3	0	100	2	0	00:22	3	0	0	0	0	0	1	786	72	1494468	1,00	
19.5.2011 0:20:03	8,8	44,0	49,5	18,3	0	100	2	0	00:23	3	0	0	0	0	0	1	786	72	1494468	1,00	
19.5.2011 0:21:05	8,8	44,0	49,5	18,3	0	100	2	0	00:24	3	0	0	0	0	0	1	786	72	1494468	1,00	
19.5.2011 0:22:06	8,8	44,1	49,4	18,3	0	100	2	0	00:25	3	0	0	0	0	0	1	786	73	1494468	1,00	
19.5.2011 0:23:07	8,7	44,0	49,4	18,3	0	100	2	0	00:26	3	0	0	0	0	0	1	786	73	1494468	1,00	
19.5.2011 0:24:08	8,7	44,1	49,5	18,3	0	100	2	0	00:27	3	0	0	0	0	0	1	786	73	1494468	1,00	
19.5.2011 0:25:09	8,7	44,1	49,4	18,3	0	100	2	0	00:28	3	0	0	0	0	0	1	786	73	1494468	1,00	
19.5.2011 0:26:11	8,7	44,1	49,4	18,3	0	100	2	0	00:29	3	0	0	0	0	0	1	786	73	1494468	1,00	
19.5.2011 0:27:12	8,7	44,1	49,4	18,2	0	100	2	0	00:30	3	0	0	0	0	0	1	786	73	1494468	1,00	
19.5.2011 0:28:13	8,7	44,1	49,4	18,3	0	100	2	0	00:31	3	0	0	0	0	0	1	786	73	1494468	1,00	
19.5.2011 0:29:14	8,7	44,1	49,4	18,2	0	100	2	0	00:32	3	0	0	0	0	0	1	786	73	1494468	1,00	
19.5.2011 0:30:16	8,7	44,0	49,3	18,2	0	100	2	0	00:33	3	0	0	0	0	0	1	786	73	1494468	1,00	
19.5.2011 0:31:17	8,7	44,1	49,4	18,2	0	100	2	0	00:34	3	0	0	0	0	0	1	786	73	1494468	1,00	
19.5.2011 0:32:18	8,7	44,0	49,3	18,2	0	100	2	0	00:35	3	0	0	0	0	0	1	786	73	1494468	1,00	
